ds,y,Temperature,Humidity,WindSpeed,relative_humidity,DewPoint,surface_pressure,precipitation,is_holiday,is_weekend
2017-01-01 00:00:00,70425.53543999999,6.559,73.8,0.083,93.0,13.3,987.1,0.0,0,1
2017-01-01 00:10:00,69320.84387000001,6.414,74.5,0.083,93.5,13.283333333333331,987.2166666666668,0.0,0,1
2017-01-01 00:20:00,67803.22193,6.313,74.5,0.08,94.0,13.266666666666667,987.3333333333334,0.0,0,1
2017-01-01 00:30:00,65489.23208999999,6.121,75.0,0.083,94.5,13.25,987.45,0.0,0,1
2017-01-01 00:40:00,63650.44627,5.921,75.7,0.081,95.0,13.233333333333333,987.5666666666666,0.0,0,1
2017-01-01 00:50:00,62171.343980000005,5.853,76.9,0.081,95.5,13.216666666666669,987.6833333333332,0.0,0,1
2017-01-01 01:00:00,60937.360649999995,5.641,77.7,0.08,96.0,13.2,987.8,0.0,0,1
2017-01-01 01:10:00,59566.75124,5.496,78.2,0.085,94.83333333333331,13.366666666666664,987.9666666666666,0.0,0,1
2017-01-01 01:20:00,58030.61931,5.678,78.1,0.081,93.66666666666669,13.533333333333331,988.1333333333332,0.0,0,1
2017-01-01 01:30:00,57012.92027,5.491,77.3,0.082,92.5,13.7,988.3,0.0,0,1
2017-01-01 01:40:00,55970.647410000005,5.516,77.5,0.081,91.33333333333331,13.866666666666664,988.4666666666666,0.0,0,1
2017-01-01 01:50:00,55152.858380000005,5.471,76.7,0.083,90.16666666666669,14.033333333333331,988.6333333333332,0.0,0,1
2017-01-01 02:00:00,54290.73952,5.059,78.6,0.081,89.0,14.2,988.8,0.0,0,1
2017-01-01 02:10:00,52861.79492,4.968,78.8,0.084,87.16666666666667,14.316666666666666,988.9666666666666,0.0,0,1
2017-01-01 02:20:00,52186.32556,4.975,78.9,0.083,85.33333333333333,14.433333333333334,989.1333333333332,0.0,0,1
2017-01-01 02:30:00,51605.46517,4.897,79.1,0.083,83.5,14.55,989.3,0.0,0,1
2017-01-01 02:40:00,51161.382190000004,5.02,79.7,0.081,81.66666666666667,14.666666666666666,989.4666666666666,0.0,0,1
2017-01-01 02:50:00,50433.58248,5.407,78.5,0.082,79.83333333333333,14.783333333333331,989.6333333333332,0.0,0,1
2017-01-01 03:00:00,49783.65136999999,5.169,77.9,0.083,78.0,14.9,989.8,0.0,0,1
2017-01-01 03:10:00,49429.18669,5.081,77.7,0.084,76.5,14.966666666666669,989.9,0.0,0,1
2017-01-01 03:20:00,49080.25071,5.041,77.2,0.081,75.0,15.033333333333331,990.0,0.0,0,1
2017-01-01 03:30:00,48935.40873,5.034,76.9,0.083,73.5,15.1,990.1,0.0,0,1
2017-01-01 03:40:00,48337.87191,4.896,76.6,0.085,72.0,15.166666666666668,990.2,0.0,0,1
2017-01-01 03:50:00,47920.31588,4.805,76.2,0.081,70.5,15.233333333333334,990.3,0.0,0,1
2017-01-01 04:00:00,47930.28589,4.753,75.7,0.083,69.0,15.3,990.4,0.0,0,1
2017-01-01 04:10:00,47966.29235,4.901,74.4,0.083,67.83333333333333,15.3,990.35,0.0,0,1
2017-01-01 04:20:00,47689.36584,5.203,74.1,0.085,66.66666666666667,15.3,990.3,0.0,0,1
2017-01-01 04:30:00,47617.84176,5.394,71.9,0.081,65.5,15.3,990.25,0.0,0,1
2017-01-01 04:40:00,47649.26273,5.156,74.0,0.079,64.33333333333333,15.3,990.2,0.0,0,1
2017-01-01 04:50:00,47434.78151,5.179,74.2,0.083,63.16666666666666,15.3,990.15,0.0,0,1
2017-01-01 05:00:00,47592.719260000005,4.934,72.9,0.082,62.0,15.3,990.1,0.0,0,1
2017-01-01 05:10:00,47580.32783,4.718,75.8,0.08,61.333333333333336,15.266666666666667,989.9333333333334,0.0,0,1
2017-01-01 05:20:00,47737.389240000004,5.546,74.0,0.082,60.66666666666666,15.233333333333334,989.7666666666668,0.0,0,1
2017-01-01 05:30:00,48289.70354,4.658,73.5,0.08,60.0,15.2,989.6,0.0,0,1
2017-01-01 05:40:00,48601.17678,4.382,76.9,0.081,59.333333333333336,15.166666666666666,989.4333333333334,0.0,0,1
2017-01-01 05:50:00,49831.75221,4.212,78.3,0.081,58.66666666666666,15.133333333333333,989.2666666666668,0.0,0,1
2017-01-01 06:00:00,51196.74761,4.308,77.2,0.081,58.0,15.1,989.1,0.0,0,1
2017-01-01 06:10:00,50510.62736,4.735,74.3,0.08,57.5,15.016666666666666,988.8833333333332,0.0,0,1
2017-01-01 06:20:00,50028.492419999995,4.769,75.6,0.082,57.0,14.933333333333334,988.6666666666666,0.0,0,1
2017-01-01 06:30:00,49718.62612,4.92,73.7,0.083,56.5,14.85,988.45,0.0,0,1
2017-01-01 06:40:00,49324.574980000005,4.408,76.7,0.082,56.0,14.766666666666666,988.2333333333332,0.0,0,1
2017-01-01 06:50:00,47773.10222,4.29,77.0,0.085,55.5,14.683333333333334,988.0166666666668,0.0,0,1
2017-01-01 07:00:00,45818.7028,4.304,76.0,0.082,55.0,14.6,987.8,0.0,0,1
2017-01-01 07:10:00,43436.588220000005,4.513,74.6,0.084,54.5,14.516666666666666,987.6166666666668,0.0,0,1
2017-01-01 07:20:00,41319.420249999996,4.489,74.3,0.082,54.0,14.433333333333334,987.4333333333332,0.0,0,1
2017-01-01 07:30:00,39980.13511,4.356,72.3,0.082,53.5,14.35,987.25,0.0,0,1
2017-01-01 07:40:00,39239.45792,4.478,72.2,0.083,53.0,14.266666666666666,987.0666666666668,0.0,0,1
2017-01-01 07:50:00,39465.967319999996,4.583,71.0,0.083,52.5,14.183333333333334,986.8833333333332,0.0,0,1
